epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,240.178,0.82288,0.47408,0.99776,0.99429,0.99634,0.99487,0.79899,0.77103,0.3719,0.95178,0.00942085,0.00942085,0.00942085
119,242.171,0.79138,0.45696,0.99889,0.99741,0.99945,0.995,0.79656,0.76145,0.3627,0.94636,0.0094159,0.0094159,0.0094159
120,244.175,0.79302,0.46553,0.98588,0.9896,0.99634,0.99432,0.81279,0.74638,0.36455,0.94234,0.00941095,0.00941095,0.00941095
121,246.173,0.80479,0.46625,0.99708,0.99192,1,0.99496,0.80895,0.77826,0.36362,0.95097,0.009406,0.009406,0.009406
122,248.242,0.78572,0.45473,0.98488,0.99505,0.99677,0.995,0.79579,0.79227,0.37303,0.96632,0.00940105,0.00940105,0.00940105
123,250.326,0.78588,0.45823,0.98087,0.98405,0.99436,0.99446,0.8046,0.76056,0.38624,0.95234,0.0093961,0.0093961,0.0093961
124,252.354,0.79915,0.46096,0.98896,0.98839,0.98072,0.99328,0.79307,0.77593,0.39227,0.96569,0.00939115,0.00939115,0.00939115
125,254.449,0.783,0.45174,0.97776,0.99334,0.9908,0.99461,0.80267,0.76284,0.37577,0.95529,0.0093862,0.0093862,0.0093862
126,256.478,0.77544,0.45446,0.98093,0.99178,0.99634,0.99493,0.80199,0.77784,0.36837,0.95326,0.00938125,0.00938125,0.00938125
127,258.507,0.79095,0.45957,0.99408,0.9925,0.99634,0.9949,0.80175,0.75484,0.36119,0.94375,0.0093763,0.0093763,0.0093763
128,260.57,0.78639,0.4555,0.9782,0.99841,1,0.995,0.79725,0.76174,0.37496,0.94147,0.00937135,0.00937135,0.00937135
129,262.54,0.77833,0.44514,0.97893,0.9969,0.99765,0.995,0.79931,0.74641,0.36813,0.94523,0.0093664,0.0093664,0.0093664
130,264.554,0.78201,0.45083,0.9798,0.99477,0.99017,0.99084,0.7941,0.76379,0.37,0.95269,0.00936145,0.00936145,0.00936145
131,266.553,0.79357,0.45375,0.99212,0.99687,0.9936,0.995,0.80296,0.76157,0.36504,0.9452,0.0093565,0.0093565,0.0093565
132,268.553,0.77955,0.45134,0.97381,0.99277,0.99634,0.99371,0.80442,0.75824,0.35285,0.93857,0.00935155,0.00935155,0.00935155
133,270.528,0.78294,0.45494,0.97716,0.9898,0.99455,0.9941,0.80351,0.75187,0.35149,0.94055,0.0093466,0.0093466,0.0093466
134,272.534,0.78818,0.45163,0.98754,0.99369,0.99717,0.995,0.80222,0.77466,0.39425,0.96516,0.00934165,0.00934165,0.00934165
135,274.539,0.7726,0.44819,0.98586,0.99841,0.99399,0.995,0.80036,0.74598,0.36741,0.94322,0.0093367,0.0093367,0.0093367
136,276.549,0.78806,0.45122,0.98108,0.99743,1,0.995,0.80494,0.75888,0.35928,0.93903,0.00933175,0.00933175,0.00933175
137,278.496,0.7835,0.44658,0.98552,0.99853,1,0.995,0.8083,0.76537,0.36103,0.93951,0.0093268,0.0093268,0.0093268
138,280.555,0.78521,0.44909,0.98247,0.99473,1,0.995,0.806,0.76702,0.36453,0.94169,0.00932185,0.00932185,0.00932185
139,282.705,0.76061,0.43681,0.9699,0.99333,0.99659,0.995,0.80786,0.77297,0.36896,0.95132,0.0093169,0.0093169,0.0093169
140,284.74,0.75148,0.42963,0.95709,0.98991,0.99614,0.99493,0.8133,0.72739,0.35388,0.94036,0.00931195,0.00931195,0.00931195
141,286.788,0.78561,0.4566,0.9868,0.99814,0.99683,0.995,0.80732,0.73363,0.34998,0.94082,0.009307,0.009307,0.009307
142,288.817,0.7838,0.44068,0.98496,0.99597,0.99199,0.99496,0.79833,0.77318,0.36204,0.95151,0.00930205,0.00930205,0.00930205
143,290.845,0.78418,0.44834,0.99144,0.99652,0.98999,0.99493,0.7995,0.77134,0.36005,0.95297,0.0092971,0.0092971,0.0092971
144,292.867,0.75584,0.44006,0.98253,0.99559,0.99634,0.99196,0.80734,0.74267,0.34528,0.94836,0.00929215,0.00929215,0.00929215
